target,interval,profit
1,"range(1, 2)",0.01
1,"range(2, 3)",0.01
1,"range(3, 4)",0.01
1,"range(4, 5)",0.01
1,"range(5, 6)",0.01
1,"range(6, 7)",0.01
1,"range(7, 8)",0.01
1,"range(8, 9)",0.01
1,"range(9, 10)",0.01
1,"range(10, 11)",0.01
1,"range(11, 12)",0.01
1,"range(12, 13)",0.01
1,"range(13, 14)",0.01
1,"range(14, 15)",0.01
1,"range(15, 16)",0.01
1,"range(16, 17)",0.01
1,"range(17, 18)",0.01
1,"range(18, 19)",0.01
1,"range(19, 20)",0.01
1,"range(20, 21)",0.01
1,"range(21, 22)",0.01
1,"range(22, 23)",0.01
1,"range(23, 24)",0.01
1,"range(24, 25)",0.01
1,"range(25, 26)",0.01
1,"range(26, 27)",0.01
1,"range(27, 28)",0.01
1,"range(28, 29)",0.01
1,"range(29, 30)",0.01
1,"range(30, 31)",0.01
1,"range(31, 32)",0.01
1,"range(32, 33)",0.01
1,"range(33, 34)",0.01
1,"range(34, 35)",0.01
1,"range(35, 36)",0.01
1,"range(36, 37)",0.01
1,"range(37, 38)",0.01
1,"range(38, 39)",0.01
1,"range(39, 40)",0.01
1,"range(40, 41)",0.01
1,"range(41, 42)",0.01
1,"range(42, 43)",0.01
1,"range(43, 44)",0.01
1,"range(44, 45)",0.01
1,"range(45, 46)",0.01
1,"range(46, 47)",0.01
1,"range(47, 48)",0.01
1,"range(48, 49)",0.01
1,"range(49, 50)",0.01
1,"range(50, 51)",0.01
1,"range(51, 52)",0.01
1,"range(52, 53)",0.01
1,"range(53, 54)",0.01
1,"range(54, 55)",0.01
1,"range(55, 56)",0.01
1,"range(56, 57)",0.01
1,"range(57, 58)",0.01
1,"range(58, 59)",0.01
1,"range(59, 60)",0.01
1,"range(60, 61)",0.01
2,"range(1, 2)",0.01
2,"range(2, 3)",0.01
2,"range(3, 4)",0.01
2,"range(4, 5)",0.01
2,"range(5, 6)",0.01
2,"range(6, 7)",0.01
2,"range(7, 8)",0.01
2,"range(8, 9)",0.01
2,"range(9, 10)",0.01
2,"range(10, 11)",0.01
2,"range(11, 12)",0.01
2,"range(12, 13)",0.01
2,"range(13, 14)",0.01
2,"range(14, 15)",0.01
2,"range(15, 16)",0.01
2,"range(16, 17)",0.01
2,"range(17, 18)",0.01
2,"range(18, 19)",0.01
2,"range(19, 20)",0.01
2,"range(20, 21)",0.01
2,"range(21, 22)",0.01
2,"range(22, 23)",0.01
2,"range(23, 24)",0.01
2,"range(24, 25)",0.01
2,"range(25, 26)",0.01
2,"range(26, 27)",0.01
2,"range(27, 28)",0.01
2,"range(28, 29)",0.01
2,"range(29, 30)",0.01
2,"range(30, 31)",0.01
2,"range(31, 32)",0.01
2,"range(32, 33)",0.01
2,"range(33, 34)",0.01
2,"range(34, 35)",0.01
2,"range(35, 36)",0.01
2,"range(36, 37)",0.01
2,"range(37, 38)",0.01
2,"range(38, 39)",0.01
2,"range(39, 40)",0.01
2,"range(40, 41)",0.01
2,"range(41, 42)",0.01
2,"range(42, 43)",0.01
2,"range(43, 44)",0.01
2,"range(44, 45)",0.01
2,"range(45, 46)",0.01
2,"range(46, 47)",0.01
2,"range(47, 48)",0.01
2,"range(48, 49)",0.01
2,"range(49, 50)",0.01
2,"range(50, 51)",0.01
